Days,dd/mm/yyyy,CLFR:PROD:10.6.2,CLFR:PROD:11.6.2,CLFR:PROD:215,CLFR:PROD:216,CLFR:PROD:217,CLFR:PROD:218,CLFR:PROD:219,CLFR:PROD:7.6.2,CLFR:PROD:8.6.2,CLFR:PROD:9.6.2,CPI:PROD:10.6.2,CPI:PROD:11.6.2,CPI:PROD:215,CPI:PROD:216,CPI:PROD:217,CPI:PROD:218,CPI:PROD:219,CPI:PROD:7.6.2,CPI:PROD:8.6.2,CPI:PROD:9.6.2,CPR:PROD:10.6.2,CPR:PROD:11.6.2,CPR:PROD:215,CPR:PROD:216,CPR:PROD:217,CPR:PROD:218,CPR:PROD:219,CPR:PROD:7.6.2,CPR:PROD:8.6.2,CPR:PROD:9.6.2,CTFAC:PROD:10.6.2,CTFAC:PROD:11.6.2,CTFAC:PROD:215,CTFAC:PROD:216,CTFAC:PROD:217,CTFAC:PROD:218,CTFAC:PROD:219,CTFAC:PROD:7.6.2,CTFAC:PROD:8.6.2,CTFAC:PROD:9.6.2,FGOR,FGPR,FGPT,FOE,FOPR,FOPT,FWCT,FWPR,FWPT,TIME,WBHP:PROD,WGPR:PROD,WGPT:PROD,WOPR:PROD,WOPT:PROD,WWCT:PROD,WWPR:PROD,WWPT:PROD,YEARS,
0.00,01/01/1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,
1.00,02/01/1990,490.421,532.309,530.857,489.586,956.827,490.421,532.309,530.857,489.586,956.827,15.8522,15.7763,15.801,15.8656,31.7785,15.8522,15.7763,15.801,15.8656,31.7785,3510.47,3510.13,3510.91,3510.89,3510.8,3510.47,3510.13,3510.91,3510.89,3510.8,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.37065,3229.31,3229.31,0.000208851,2356.04,2356.04,0.214654,643.963,643.963,1,3509.88,3229.31,3229.31,2356.04,2356.04,0.214654,643.963,643.963,0.00273785,
3.41,04/01/1990,488.273,534.454,538.196,490.037,949.041,488.273,534.454,538.196,490.037,949.041,12.8765,12.6317,12.6452,12.8792,25.9895,12.8765,12.6317,12.6452,12.8792,25.9895,3506.62,3506.28,3507.05,3507.04,3506.95,3506.62,3506.28,3507.05,3507.04,3506.95,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.37116,3174.35,10863.7,0.00070193,2315.09,7923.85,0.228305,684.914,2291.19,3.40501,3506.03,3174.35,10863.7,2315.09,7923.85,0.228305,684.914,2291.19,0.00932241,
8.85,09/01/1990,484.82,539.268,545.339,487.659,942.915,484.82,539.268,545.339,487.659,942.915,10.8168,11.2506,11.2744,10.8226,21.5884,10.8168,11.2506,11.2744,10.8226,21.5884,3504.05,3503.71,3504.49,3504.47,3504.38,3504.05,3503.71,3504.49,3504.47,3504.38,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.37987,3026.78,27351.1,0.00175998,2193.53,19872.4,0.268825,806.475,6684.2,8.85219,3503.46,3026.78,27351.1,2193.53,19872.4,0.268825,806.475,6684.2,0.024236,
16.43,17/01/1990,483.514,540.79,547.435,486.476,941.784,483.514,540.79,547.435,486.476,941.784,9.29318,9.93801,9.97542,9.30381,18.4899,9.29318,9.93801,9.97542,9.30381,18.4899,3497.7,3497.37,3498.14,3498.12,3498.03,3497.7,3497.37,3498.14,3498.12,3498.03,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38025,2780.06,48411.4,0.00311111,2014.17,35130.7,0.328609,985.826,14152.3,16.4277,3497.12,2780.06,48411.4,2014.17,35130.7,0.328609,985.826,14152.3,0.0449766,
39.15,09/02/1990,482.708,540.932,548.471,485.594,942.295,482.708,540.932,548.471,485.594,942.295,6.75371,7.77493,7.87239,6.77925,13.3253,6.75371,7.77493,7.87239,6.77925,13.3253,3483.54,3483.21,3483.97,3483.95,3483.86,3483.54,3483.21,3483.97,3483.95,3483.86,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.37914,2290.17,100459,0.00645291,1660.57,72869.7,0.446476,1339.43,44592.8,39.1542,3482.96,2290.17,100459,1660.57,72869.7,0.446476,1339.43,44592.8,0.107198,
69.58,11/03/1990,484.922,534.784,542.727,487.441,950.125,484.922,534.784,542.727,487.441,950.125,4.95718,6.11545,6.26715,4.99451,9.69489,4.95718,6.11545,6.26715,4.99451,9.69489,3470.7,3470.37,3471.13,3471.11,3471.02,3470.7,3470.37,3471.13,3471.11,3471.02,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.37836,1865.86,157224,0.0100997,1353.68,114053,0.548773,1646.32,94678.6,69.5771,3470.13,1865.86,157224,1353.68,114053,0.548773,1646.32,94678.6,0.190492,
100.00,11/04/1990,484.263,535.105,543.829,486.772,950.03,484.263,535.105,543.829,486.772,950.03,3.91872,5.1187,5.32099,3.96457,7.60783,3.91872,5.1187,5.32099,3.96457,7.60783,3462.89,3462.56,3463.31,3463.29,3463.2,3462.89,3462.56,3463.31,3463.29,3463.2,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38003,1588.81,205560,0.0132012,1151.29,149078,0.616238,1848.71,150922,100,3462.32,1588.81,205560,1151.29,149078,0.616238,1848.71,150922,0.273785,
150.00,31/05/1990,484.493,534.161,543.273,487.103,950.969,484.493,534.161,543.273,487.103,950.969,2.96209,4.12447,4.37412,3.01959,5.68827,2.96209,4.12447,4.37412,3.01959,5.68827,3455.89,3455.56,3456.31,3456.29,3456.2,3455.89,3455.56,3456.31,3456.29,3456.2,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.38544,1302.73,270697,0.0173644,940.3,196093,0.686567,2059.7,253907,150,3455.32,1302.73,270697,940.3,196093,0.686567,2059.7,253907,0.410678,
200.00,20/07/1990,484.475,533.049,543.238,486.967,952.27,484.475,533.049,543.238,486.967,952.27,2.37348,3.44945,3.73963,2.43472,4.534,2.37348,3.44945,3.73963,2.43472,4.534,3451.32,3451,3451.74,3451.72,3451.64,3451.32,3451,3451.74,3451.72,3451.64,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.3876,1104.59,325926,0.0208889,796.043,235895,0.734652,2203.96,364105,200,3450.76,1104.59,325926,796.043,235895,0.734652,2203.96,364105,0.54757,
