Days,dd/mm/yyyy,CLFR:PROD:10.6.2,CLFR:PROD:11.6.2,CLFR:PROD:215,CLFR:PROD:216,CLFR:PROD:217,CLFR:PROD:218,CLFR:PROD:219,CLFR:PROD:7.6.2,CLFR:PROD:8.6.2,CLFR:PROD:9.6.2,CPI:PROD:10.6.2,CPI:PROD:11.6.2,CPI:PROD:215,CPI:PROD:216,CPI:PROD:217,CPI:PROD:218,CPI:PROD:219,CPI:PROD:7.6.2,CPI:PROD:8.6.2,CPI:PROD:9.6.2,CPR:PROD:10.6.2,CPR:PROD:11.6.2,CPR:PROD:215,CPR:PROD:216,CPR:PROD:217,CPR:PROD:218,CPR:PROD:219,CPR:PROD:7.6.2,CPR:PROD:8.6.2,CPR:PROD:9.6.2,CTFAC:PROD:10.6.2,CTFAC:PROD:11.6.2,CTFAC:PROD:215,CTFAC:PROD:216,CTFAC:PROD:217,CTFAC:PROD:218,CTFAC:PROD:219,CTFAC:PROD:7.6.2,CTFAC:PROD:8.6.2,CTFAC:PROD:9.6.2,FGOR,FGPR,FGPT,FOE,FOPR,FOPT,FWCT,FWPR,FWPT,TIME,WBHP:PROD,WGPR:PROD,WGPT:PROD,WOPR:PROD,WOPT:PROD,WWCT:PROD,WWPR:PROD,WWPT:PROD,YEARS,
0.00,01/01/1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,0,0,0,0,0,0,0,0,0,0,3600,0,0,0,0,0,0,0,0,
1.00,02/01/1990,982.523,1062.93,1054.17,977.926,1922.45,982.523,1062.93,1054.17,977.926,1922.45,12.3434,12.5135,12.5323,12.3536,24.655,12.3434,12.5135,12.5323,12.3536,24.655,3385.75,3384.39,3387.46,3387.4,3387.05,3385.75,3384.39,3387.46,3387.4,3387.05,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.35242,6248.18,6248.18,0.000409145,4620.01,4620.01,0.229998,1379.99,1379.99,1,3383.39,6248.18,6248.18,4620.01,4620.01,0.229998,1379.99,1379.99,0.00273785,
2.58,03/01/1990,974.076,1079.15,1080.23,974.324,1892.22,974.076,1079.15,1080.23,974.324,1892.22,11.4397,11.7917,11.8312,11.4594,22.8231,11.4397,11.7917,11.8312,11.4594,22.8231,3361.6,3360.25,3363.33,3363.27,3362.91,3361.6,3360.25,3363.33,3363.27,3362.91,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.35875,6109.97,15900.8,0.00103822,4496.74,11724.1,0.250543,1503.26,3754.86,2.57982,3359.25,6109.97,15900.8,4496.74,11724.1,0.250543,1503.26,3754.86,0.00706317,
4.57,05/01/1990,971.435,1080.98,1087.39,974.407,1885.79,971.435,1080.98,1087.39,974.407,1885.79,10.4162,10.8254,10.8667,10.4356,20.7673,10.4162,10.8254,10.8667,10.4356,20.7673,3348.19,3346.84,3349.92,3349.85,3349.49,3348.19,3346.84,3349.92,3349.85,3349.49,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.35662,5840.98,27506.6,0.00179577,4305.53,20278.9,0.282412,1694.47,7121.69,4.56677,3345.84,5840.98,27506.6,4305.53,20278.9,0.282412,1694.47,7121.69,0.0125031,
10.53,11/01/1990,969.091,1081.09,1090.59,973.506,1885.72,969.091,1081.09,1090.59,973.506,1885.72,8.28312,9.11963,9.20043,8.31613,16.4104,8.28312,9.11963,9.20043,8.31613,16.4104,3319.08,3317.75,3320.8,3320.73,3320.37,3319.08,3317.75,3320.8,3320.73,3320.37,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.35408,5114.88,57995.6,0.00378961,3777.4,42795.5,0.370433,2222.6,20370.3,10.5276,3316.75,5114.88,57995.6,3777.4,42795.5,0.370433,2222.6,20370.3,0.0288231,
25.23,26/01/1990,962.581,1090.55,1102.71,966.811,1877.35,962.581,1090.55,1102.71,966.811,1877.35,5.71242,6.90445,7.05878,5.76116,11.2017,5.71242,6.90445,7.05878,5.76116,11.2017,3284.14,3282.82,3285.85,3285.78,3285.42,3284.14,3282.82,3285.85,3285.78,3285.42,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.36498,4093.39,118160,0.00769267,2998.88,86872.7,0.500187,3001.12,64480.6,25.2255,3281.84,4093.39,118160,2998.88,86872.7,0.500187,3001.12,64480.6,0.0690638,
47.47,17/02/1990,963.291,1087.22,1101.19,967.534,1880.77,963.291,1087.22,1101.19,967.534,1880.77,3.95143,5.16719,5.37843,4.00869,7.67182,3.95143,5.16719,5.37843,4.00869,7.67182,3261.07,3259.77,3262.76,3262.69,3262.34,3261.07,3259.77,3262.76,3262.69,3262.34,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.37453,3199.21,189331,0.0122777,2327.5,138651,0.612084,3672.5,146181,47.472,3258.79,3199.21,189331,2327.5,138651,0.612084,3672.5,146181,0.129971,
73.74,15/03/1990,964.89,1081.96,1098.14,969.02,1885.99,964.89,1081.96,1098.14,969.02,1885.99,2.89239,4.03528,4.29574,2.95482,5.56427,2.89239,4.03528,4.29574,2.95482,5.56427,3246.37,3245.08,3248.04,3247.98,3247.63,3246.37,3245.08,3248.04,3247.98,3247.63,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.37592,2550.48,256317,0.0165887,1853.65,187336,0.691058,4146.35,255081,73.736,3244.11,2550.48,256317,1853.65,187336,0.691058,4146.35,255081,0.201878,
100.00,11/04/1990,966.77,1077.04,1093.93,970.814,1891.44,966.77,1077.04,1093.93,970.814,1891.44,2.27417,3.31538,3.60387,2.33824,4.35068,2.27417,3.31538,3.60387,2.33824,4.35068,3236.76,3235.47,3238.42,3238.36,3238.01,3236.76,3235.47,3238.42,3238.36,3238.01,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.37594,2123.14,312079,0.0201774,1543.04,227862,0.742826,4456.96,372138,100,3234.51,2123.14,312079,1543.04,227862,0.742826,4456.96,372138,0.273785,
150.00,31/05/1990,969.54,1070.05,1087.75,973.293,1899.37,969.54,1070.05,1087.75,973.293,1899.37,1.68373,2.55465,2.88721,1.75241,3.19927,1.68373,2.55465,2.88721,1.75241,3.19927,3226.54,3225.26,3228.19,3228.13,3227.79,3226.54,3225.26,3228.19,3228.13,3227.79,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.37604,1671.9,395674,0.0255569,1215.01,288612,0.797499,4784.99,611388,150,3224.31,1671.9,395674,1215.01,288612,0.797499,4784.99,611388,0.410678,
200.00,20/07/1990,972.53,1063,1081.62,975.919,1906.93,972.53,1063,1081.62,975.919,1906.93,1.35185,2.07666,2.44087,1.42189,2.56662,1.35185,2.07666,2.44087,1.42189,2.56662,3220.26,3218.98,3221.9,3221.83,3221.5,3220.26,3218.98,3221.9,3221.83,3221.5,54.9597,54.9597,54.9597,54.9597,109.919,54.9597,54.9597,54.9597,54.9597,109.919,1.37613,1393.24,465336,0.0300394,1012.43,339234,0.831261,4987.57,860766,200,3218.03,1393.24,465336,1012.43,339234,0.831261,4987.57,860766,0.54757,
