TIME,WBHP:2A,WGPR:2A,WGPT:2A,WOPR:2A,WOPT:2A,WWCT:2A,WWPR:2A,WWPT:2A,WWOR:2A
0,3610,0,0,0,0,0,0,0,0
1,3444.43,6343.04,6343.04,4645.79,4645.79,0.158604,875.735,875.735,0.1885007717
3.47,3414.76,6006.5,21176.7,4420.54,15562.8,0.203767,1131.27,3669.53,0.2559121736
8.58,3390.01,5415.88,48860.5,3995.19,35984.6,0.286189,1601.79,11857.3,0.4009296179
21.91,3353.78,4397.79,107494,3242.67,79217.3,0.428016,2426.5,44208.3,0.7483030959
43.31,3335.06,3468.72,181725,2521.8,133184,0.559581,3204.12,112777,1.2705686414
71.66,3333.86,2732.16,259163,1986.87,189498,0.656264,3793.35,220292,1.9092089568
100,3336.55,2296.67,324258,1671.04,236861,0.712505,4141.37,337672,2.4783188912
150,3340.23,1821.72,415344,1325.85,303153,0.773254,4521.45,563744,3.4102274013
200,3342.66,1504.95,490591,1095.47,357927,0.813394,4775.05,802497,4.35890531
300,3345.76,1177.69,608360,857.273,443654,0.854563,5037.19,1306220,5.8758295199
400,3348.01,996.245,707984,725.098,516164,0.877262,5182.62,1824480,7.1474752378
500,3349.71,875.128,795497,636.84,579848,0.892363,5279.71,2352450,8.2904811256
600,3351.17,786.112,874108,570.551,636903,0.903666,5352.12,2887660,9.3806162815
700,3352.57,716.614,945770,518.582,688761,0.912511,5408.81,3428540,10.4299994986
800,3353.81,659.039,1011670,476.559,736417,0.919657,5455.01,3974040,11.4466624279
900,3355.14,612.342,1072910,441.879,780605,0.925544,5492.92,4523330,12.4308238228
1000,3356.39,571.679,1130080,412.413,821846,0.930545,5525.4,5075870,13.397734795
1100,3357.53,536.725,1183750,387.177,860564,0.934823,5553.24,5631200,14.3428974345
1200,3358.68,506.475,1234400,365.348,897099,0.938521,5577.33,6188930,15.2658013729
1300,3359.7,480.806,1282480,346.814,931780,0.941659,5597.78,6748710,16.1405825601
1400,3360.6,458.596,1328340,330.781,964858,0.944372,5615.48,7310260,16.9764285131
1500,3361.38,439.487,1372280,316.982,996557,0.946705,5630.7,7873330,17.7634692191
